LINK_ID,overspeed_rate,jam_rate,borough,link_name
4616202,0.6954721609230885,0.063635453,Staten Island,WSE S ARDEN AVENUE - BLOOMINGDALE ROAD
4616216,1.2514443753832548e-05,0.8031206851240807,Staten Island,SIE E-MLK N RICHMOND AVENUE - WALKER STREET
4456477,0.000289722,0.00694291,Queens,MDE S TBB EXIT RAMP - QUEENS ANCHORAGE
4456476,0.00025762,0.003097673,Queens,TBB N QUEENS ANCHORAGE - MANHATTAN LIFT SPAN
4575278,0,0.033333333,Bronx,MDE N VAN CORTLAND PARK - NYST N EXIT 1 (MP.48)
4616217,0.00105661,0.5991041784125791,Staten Island,SIE W - MLK N WOOLEY AVENUE - WLAKER STREET
4616203,0.004284236,0.15651228954262544,Staten Island,WSE S BLLOMINGDALE ROAD - TYRELLAN AVENUE
4456516,0.19384218756603694,0.036367863,Queens,LIE W 84TH ST - QMT TOLL PLAZA
4456502,0.001153589,0.1372203754522952,Manhattan,BBT E Manhattan Portal - Toll Plaza
4456500,0.000315849,0.020486532,Queens,Whitestone Expwy N Exit 14 (Linden Pl) - BWB N Queens Anchorage
4616215,0.004857886,0.15616663373184467,Staten Island,WSE N TYRELLAN AVENUE - BLOOMINGDALE ROAD
4616201,0.3791035623478665,0.093473305,Staten Island,WSE S VICTORY BOULEVARD - ARDEN AVENUE
4616229,9.670105383573988e-05,0.1918754655024134,Brooklyn,BQE S - GOW S ALTANTIC AVENUE - 9TH STREET
4763649,0.004444383,0.10983845671984381,Brooklyn,VNB W BROOKLYN GANTRY UPPER LEVEL - SI GANTRY UPPER LEVEL
4763648,0.000211494,0.090698728,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY UPPER LEVEL
4616228,0.18083931587176666,0.4680241235990005,Bronx,I-87 NYST S Exit 1 - MDE S Van Cortlandt Park
4616200,0.098420015,0.06204595,Staten Island,WSE S SOUTH AVENUE - VICTORY BOULEVARD
4616214,0.2296686173486506,0.059644348751474334,Staten Island,WSE N BLOOMUINGDALE ROAD - ARDEN AVENUE
4456501,0.000817446,0.10605731814456577,Manhattan,BBT W Toll Plaza - Manhattan Portal
4456511,0.00010609,0.10823651775963389,Manhattan,QMT E Manhattan Side - Toll Plaza
4616199,0.27925496412481227,0.063688887,Staten Island,SIE W - WSE S SOUTH AVENUE - SOUTH AVENUE
4456505,0.003622538,0.037965702743196265,Queens,TNB N Queens Anchorage - Toll Plaza
4616364,0.10725373048408916,0.012428093865517539,Queens,LIE W 108TH ST - 84TH ST
4616210,0.005984921,0.5283556021668758,Staten Island,MLK S - SIE W WALKER STREET - RICHMOND AVENUE
4616205,0.001167367,0.093431221,Staten Island,VNB W-SIE W SI GANTRY LOWER LEVEL - FINGERBOARD ROAD
4616211,0.1610900801468844,0.060057557,Staten Island,SIE W RICHMOND AVENUE - SOUTH AVENUE
4616239,0.001538968,0.012634762570981813,Queens,Whitestone Expwy S Exit 14 (Linden Pl) - VWE S MP8.65 (Exit 13 Northern Blvd)
4616365,0.099409365,0.010537945100705362,Queens,LIE E QMT TOLL PLAZA - 84TH ST
4616198,0.14441284030881754,0.063140895,Staten Island,WSE N-SIE E SOUTH AVENUE - SOUTH AVENUE
4456510,4.842339734345031e-05,0.093554004,Queens,QMT W Toll Plaza - Manhattan Side
4456506,0.004173529,0.028109820926014717,Queens,TNB S Toll Plaza - Queens Anchorage
4616213,0.25227246529550285,0.092944654,Staten Island,WSE N ARDEN AVENUE - VICTORY BLVD
4456498,0.028882272102611087,0.035761878982217964,Bronx,HRP S Lafayette Ave - BWB S Toll Plaza
4616212,0.37565020141577693,0.061431297,Staten Island,WSE N VICTORY BLVD - SOUTH AVENUE
4616206,0.07387498,0.052523246,Staten Island,SIE W FINGERBOARD ROAD - CLOVE ROAD
4620314,0.000303805,0.10865593501077882,Bronx,MDE S HARLEM RIVER PARK - GWB W AMSTERDAM AVENUE UPPER LEVEL
4616329,0.000273816,0.034766443,Manhattan,FDR N 25th - 63rd St
4616261,0.014625025226212196,0.002580281,Bronx,BE S Griswold - Castle Hill Avenue
4616260,0.028458782548258715,0.001795481,Bronx,BE S CASTLE HILL AVENUE - STRATFORD AVENUE
4616328,0.000841999,0.024477826321144293,Manhattan,FDR N Catherine Slip - 25th St
4616300,0.001914013,0.006750499,Queens,VWE N MP8.64 (Exit 13 Northern Blvd) - Whitestone Expwy Exit 14 (Linden Pl)
4620315,4.596500391747192e-05,0.6914264821102115,Bronx,CBE W L/LE V AMSTERDAM AVE - I 95 S LOC LNS
4616276,0.003577895,0.018753600526705622,Queens,VWE S MP2.66 (Exit 2 Rockaway Blvd) - Belt Pkwy E 182nd St
4329472,0.000205845,0.17047722811803454,Manhattan,LINCOLN TUNNEL E SOUTH TUBE - NJ - NY
4329499,0.000229294,0.8412173177694148,Staten Island,MLK N WALKER STREET - NJ ROUTE 169
4616267,0.031575961,0.001510959,Bronx,CBE W CASTLE HILL AVENUE - TAYLOR AVENUE
4616298,0.001887401,0.035430926,Queens,VWE N MP4.63 (Exit 6 - Jamaica Ave) - MP6.39 (Exit 11 Jewel Ave)
4362249,0.008239937,0.062658629,Queens,LIE WB LITTLE NECK PKWY - NB CIP
4620298,0.047693777434588865,0.095591526,Manhattan,GWB E LOWER LEVEL PLAZA - CBE E LOWER LEVEL AMSTERDAM AVE
4616299,0.002253601,0.019354214645731845,Queens,VWE N MP6.39 (Exit 11 Jewel Ave) - MP8.65 (Exit 13 Northern Blvd)
4616266,0.091859759,0.5225904299062331,Bronx,BRP S FORDHAM ROAD - WATSON AVENUE
4616272,0.002277872,0.008159632,Queens,VWE S MP4.63 (Exit 6 Jamaica Ave) - MP2.66 (Exit 2 Roackaway Blvd)
4329507,0.000247453,0.031372427,Manhattan,LINCOLN TUNNEL W NORTH TUBE NY - NJ
4616312,0.002588864,0.017597253,Queens,BWB S Queens Anchorage - WSE S Exit 14 (Linden Pl)
4329473,0.00023167,0.3892513514077599,Manhattan,LINCOLN TUNNEL E CENTER TUBE NJ - NY
4362314,0.010441012,0.02524724,Queens,TNB S Qns Anchorage - CIP S @ TNB
4616338,0.000197375,0.16398565742294155,Manhattan,12th Ave N 40th - 57th St
4616310,0.000732373,0.07238768,Bronx,CBE AMSTERDAM AVE (L/LVL) - MORRIS AVE
4616271,0.000106998,0.003385737,Brooklyn,BQE S LEONARD STREET - ATLANTIC AVENUE
4616259,0.001899679,0.014261982985127406,Queens,VWE S MP6.39 (Exit 11 Jewel Ave) - MP4.63 (Exit 6 Jamaica Ave)
4616305,0.13897617150242167,0.051839678928440186,Bronx,BWB N Toll Plaza - HRP N Lafayatte Ave
4616339,2.0574988632318782e-06,0.056243789,Manhattan,BQE N Atlantic Ave - BKN Bridge Manhattan Side
4620310,0.000374436,0.32837621665699374,Bronx,CBE W U/LEV AMSTERDAM AVE - I95 S EXP LNS
4616320,0.058113736,0.024771313121297007,Queens,CIP N TNB - Whitestone Expwy S Exit 14 (Linden Pl)
4616297,0.00428736,0.000921659,Bronx,CBE E CASTLE HILL AVE - BE N WATERBURY AVE
4362252,0.058094947,0.026507152624162113,Queens,CIP N LIE ramp - TNB
4362247,0.11951446855289392,0.048891713,Queens,CIP NB GCP - TNB
4616282,0.000153133,0.8054627213449246,Staten Island,ROUTE 169 S - MLK WALKER STREET
4329508,0.000154777,0.36309787746701583,Manhattan,LINCOLN TUNNEL W CENTER TUBE NY - NJ
4616255,0.000242876,0.22148010167851886,Bronx,MDE N RFK Bridge - 142nd St
4616241,0.001604671,0.014275398544686997,Queens,VWE S MP8.65 (Exit 13 Northern Blvd) - MP6.39 (Exit 11 Jewel Ave)
4329483,0.002722187,0.20366662781792147,Staten Island,WSE S TYRELLAN AVENUE - 440 S FRANCIS STREET
4616309,0.001000809,0.075626999,Bronx,CBE E AMSTERDAM AVE(U/LVL) - MORRIS AVE
4616323,0.00012979,0.029874453541217722,Manhattan,12th Ave S 57th St - 45th St
4616337,0.000275465,0.022403124678795353,Manhattan,11th ave n ganservoort - 12th ave @ 40th st
4616257,0.000110445,0.15817636171136518,Brooklyn,BQE N ATLANTIC AVENUE - LEONARD STREET
4362251,0.018099986,0.00574511,Queens,LIE WB LITTLE NECK PKWY - NB CVE
4362244,0.011737781914158184,0.008547449,Queens,CVE NB LIE - WILLETS PT BLVD
4362250,0.12223493122685022,0.060056241,Queens,CVE NB GCP - WILLETS PT BLVD
4616281,0.00479109,0.19261702977143538,Staten Island,440 N FRANCIS STREET - WSE N TYRELLAN AVE
4616332,0.001142134,0.023125117,Manhattan,FDR S 63rd - 25th St
4616252,0.022382934,0.052065769018811124,Bronx,BRP N WATSON AVENUE - FORDHAM ROAD
4616246,0.14499573427076587,0.002360028,Bronx,BE N STRATFORD AVENUE - CASTLE HILL AVE
4616247,0.021705946248415924,0.002322625,Bronx,BE N Castle Hill Avenue - Griswold Ave
